"","budget","id","original_language","popularity","revenue","runtime","status","title","vote_average","vote_count","genre_1","genre_2","prodcomp_1","prodcount_1","release_year","release_month"
"413",6e+07,38167,"en",28.800112,204594016,133,"Released","Eat Pray Love",5.8,636,"Drama",NA,"Columbia Pictures","United States of America",2010,"08"
"414",6e+07,5994,"en",19.705489,NA,125,"Released","The Family Man",6.5,521,"Comedy","Drama","Universal Pictures","United States of America",2000,"12"
"415",5.5e+07,9563,"en",23.127561,100230832,163,"Released","Any Given Sunday",6.8,422,"Drama",NA,"Donners' Company","United States of America",1999,"12"
"416",6e+07,547,"en",12.867352,186883563,170,"Released","The Horse Whisperer",6.7,292,"Drama","Romance","Wildwood Enterprises","United States of America",1998,"05"
"417",6.5e+07,1538,"en",44.815022,217764291,120,"Released","Collateral",7,1451,"Drama","Crime","Paramount Pictures","United States of America",2004,"08"
"418",6e+07,9334,"en",37.537093,165333180,92,"Released","The Scorpion King",5.3,779,"Action","Fantasy","Universal Pictures","United States of America",2002,"04"
"419",6e+07,11128,"en",10.99991,74541707,115,"Released","Ladder 49",6.2,207,"Drama","Action","Casey Silver Productions","United States of America",2004,"10"
"420",6e+07,8914,"en",22.991269,73648228,105,"Released","Deep Blue Sea",5.6,604,"Action","Science Fiction","Village Roadshow Pictures","Australia",1999,"07"
"421",6e+07,13576,"en",15.798622,NA,111,"Released","This Is It",6.7,247,"Music","Documentary","Columbia Pictures","United States of America",2009,"10"
"422",6e+07,39538,"en",38.820858,137551594,106,"Released","Contagion",6.2,1325,"Drama","Thriller","Double Feature Films","United States of America",2011,"09"
"423",141792598.855786,10628,"en",10.292864,NA,89,"Released","Kangaroo Jack",4.3,203,"Comedy","Adventure","Castle Rock Entertainment","Australia",2003,"01"
"424",6e+07,14836,"en",51.146047,124596398,100,"Released","Coraline",7.3,1386,"Animation","Family","Focus Features","United States of America",2009,"02"
"425",6e+07,8645,"en",20.501582,163403799,91,"Released","The Happening",4.9,950,"Thriller","Science Fiction","Spyglass Entertainment","United States of America",2008,"06"
"426",7e+07,9509,"en",45.299089,130293714,146,"Released","Man on Fire",7.3,1553,"Action","Drama","Regency Enterprises","United Kingdom",2004,"04"
"427",5e+07,10067,"en",4.280619,61112916,98,"Released","The Shaggy Dog",4.5,137,"Comedy","Family","Walt Disney Pictures","United States of America",2006,"03"
"428",6e+07,9384,"en",28.848842,170268750,101,"Released","Starsky & Hutch",5.6,644,"Comedy","Crime","Weed Road Pictures","United States of America",2004,"03"
"429",6e+07,9279,"en",22.501041,129832389,89,"Released","Jingle All the Way",5.5,575,"Family","Comedy","Twentieth Century Fox Film Corporation","United States of America",1996,"11"
"430",7e+07,9422,"en",10.147321,56702901,115,"Released","A Civil Action",6.1,109,"Drama",NA,"Paramount Pictures","United States of America",1998,"03"
"431",6e+07,77174,"en",39.539045,107139399,90,"Released","ParaNorman",6.7,789,"Family","Animation","Focus Features","United States of America",2012,"08"
"432",6e+07,4824,"en",19.747459,159330280,124,"Released","The Jackal",6.1,527,"Action","Thriller","Universal Pictures","United States of America",1997,"11"
"433",6e+07,9620,"en",29.018826,96269812,119,"Released","Paycheck",5.9,581,"Action","Adventure","Paramount Pictures","Canada",2003,"12"
"434",6e+07,9302,"en",4.801849,NA,119,"Released","Up Close & Personal",5.9,50,"Drama","Romance","Cinergi Pictures Entertainment","United States of America",1996,"03"
"435",6e+07,10199,"en",16.493576,50877145,93,"Released","The Tale of Despereaux",5.8,258,"Adventure","Animation","Larger Than Life Productions","United Kingdom",2008,"12"
"436",178788692.934847,10771,"en",21.549232,NA,98,"Released","The Tuxedo",5.3,483,"Thriller","Action","DreamWorks SKG","United States of America",2002,"09"
"437",6e+07,3512,"en",13.080725,104324083,100,"Released","Under Siege 2: Dark Territory",5.6,210,"Action","Thriller","Regency Enterprises","United States of America",1995,"07"
"438",6e+07,137094,"en",42.538258,50549107,105,"Released","Jack Ryan: Shadow Recruit",5.9,1173,"Action","Drama","Paramount Pictures","Russia",2014,"01"
"439",6e+07,274479,"en",29.876507,101134059,124,"Released","Joy",6.4,1581,"Drama","Comedy","Fox 2000 Pictures","United States of America",2015,"12"
"440",6e+07,267860,"en",61.849521,205754447,99,"Released","London Has Fallen",5.8,1621,"Action","Crime","Millennium Films","Bulgaria",2016,"03"
"441",7e+07,8078,"en",37.44963,1.62e+08,109,"Released","Alien: Resurrection",5.9,1365,"Science Fiction","Horror","Twentieth Century Fox Film Corporation","United States of America",1997,"11"
"442",6.1e+07,7485,"en",37.378081,95696996,124,"Released","Shooter",6.9,1462,"Action","Drama","Paramount Pictures","United States of America",2007,"03"
"443",6e+07,170687,"en",30.656345,108255770,97,"Released","The Boxtrolls",6.6,668,"Animation","Comedy","Laika Entertainment","United States of America",2014,"09"
"444",7.5e+07,6435,"en",15.142701,46683377,104,"Released","Practical Magic",6.3,338,"Drama","Fantasy","Village Roadshow Pictures","United States of America",1998,"10"
"445",111811438.07258,10040,"en",19.998581,NA,115,"Released","Miss Congeniality 2: Armed and Fabulous",5.3,425,"Action","Comedy","Village Roadshow Pictures","United States of America",2005,"03"
"446",6e+07,6278,"en",27.615108,43061982,101,"Released","Reign of Fire",6,669,"Adventure","Action","The Zanuck Company","Ireland",2002,"07"
"447",6e+07,17610,"en",25.293538,62357900,97,"Released","Year One",4.6,524,"Comedy","Adventure","Columbia Pictures","United States of America",2009,"06"
"448",6e+07,22954,"en",23.85119,122233971,134,"Released","Invictus",7,1125,"Drama","History","Spyglass Entertainment","United States of America",2009,"12"
"449",6e+07,16995,"en",21.685719,87784194,127,"Released","State of Play",6.7,484,"Action",NA,"Universal Pictures","France",2009,"04"
"450",78146652,16558,"en",13.630049,6e+07,125,"Released","Duplicity",5.7,201,"Romance","Comedy","Universal Pictures","Germany",2009,"03"
"451",6.5e+07,9849,"en",6.80692,36850101,94,"Released","My Favorite Martian",5.1,80,"Comedy","Drama","Walt Disney Pictures","United States of America",1999,"02"
"452",6e+07,5820,"en",15.352807,77920346,108,"Released","The Sentinel",5.8,225,"Action","Thriller","Twentieth Century Fox Film Corporation","United States of America",2006,"04"
"453",7e+07,16866,"en",23.661071,104945765,91,"Released","Planet 51",5.6,556,"Science Fiction","Animation","TriStar Pictures","Spain",2009,"11"
"454",6e+07,201,"en",21.605533,67312826,117,"Released","Star Trek: Nemesis",6.1,479,"Science Fiction","Action","Paramount Pictures","United States of America",2002,"12"
"455",6e+07,11775,"en",22.620125,119940815,100,"Released","Intolerable Cruelty",5.8,391,"Crime","Comedy","Imagine Entertainment","United States of America",2003,"09"
"456",148641974.654589,87825,"en",18.587114,NA,111,"Released","Trouble with the Curve",6.6,366,"Drama","Romance","Malpaso Productions","United States of America",2012,"09"
"457",8e+07,12201,"en",24.657931,74901339,117,"Released","Edge of Darkness",6.2,487,"Crime","Drama","Icon Productions","United Kingdom",2010,"01"
"458",6e+07,11015,"en",12.621769,33956608,110,"Released","The Relic",5.8,130,"Horror","Mystery","Paramount Pictures","Germany",1997,"01"
"459",6e+07,9932,"en",21.08952,55003135,96,"Released","Analyze That",5.7,380,"Comedy","Crime","Village Roadshow Pictures","Australia",2002,"12"
"460",6e+07,13389,"en",18.380176,73174566,101,"Released","Righteous Kill",5.9,375,"Action","Crime","Grosvenor Park Media Ltd.","United States of America",2008,"09"
"461",6e+07,8838,"en",18.877795,NA,111,"Released","Mercury Rising",6,368,"Action","Crime","Imagine Entertainment","United States of America",1998,"04"
"462",6e+07,17332,"en",17.299333,31720158,109,"Released","The Soloist",6.6,234,"Drama",NA,"DreamWorks","United States of America",2009,"04"
"463",8e+07,4958,"en",16.848899,39459427,126,"Released","The Legend of Bagger Vance",6.3,251,"Fantasy","Drama","DreamWorks SKG","United States of America",2000,"11"
"464",6e+07,786,"en",21.547446,47383689,122,"Released","Almost Famous",7.4,797,"Drama","Music","Columbia Pictures","United States of America",2000,"09"
"465",114689338.740577,9513,"en",16.930969,141702264,78,"Released","Garfield: A Tail of Two Kitties",5.1,464,"Animation","Comedy","Twentieth Century Fox Film Corporation","United Kingdom",2006,"06"
"466",6e+07,11679,"en",36.689223,71073932,101,"Released","xXx: State of the Union",4.7,549,"Action","Adventure","Original Film","United States of America",2005,"04"
"467",6e+07,38321,"en",28.350927,78309131,87,"Released","Priest",5.4,692,"Action","Science Fiction","Screen Gems","United States of America",2011,"05"
"468",6e+07,14411,"en",18.815442,26288320,86,"Released","Sinbad: Legend of the Seven Seas",6.6,372,"Family","Animation","DreamWorks Animation","United States of America",2003,"07"
"469",6e+07,8413,"en",29.787135,26673242,96,"Released","Event Horizon",6.5,742,"Horror","Science Fiction","Paramount Pictures","United Kingdom",1997,"08"
"470",6e+07,10052,"en",8.927137,52322400,104,"Released","Dragonfly",6.1,204,"Drama",NA,"Universal Pictures","Germany",2002,"02"
"471",5e+07,9676,"en",15.213484,49111202,121,"Released","The Black Dahlia",5.7,287,"Drama",NA,"Universal Pictures","France",2006,"09"
"472",6e+07,9664,"en",13.155999,17800000,140,"Released","Flyboys",6.3,271,"Action","Adventure","Ingenious Film Partners","United Kingdom",2006,"09"
"473",7.2e+07,2100,"en",15.433244,27642707,131,"Released","The Last Castle",7,285,"Action","Drama","DreamWorks SKG","United States of America",2001,"10"
"474",9e+07,10384,"en",5.762037,14828081,91,"Released","Supernova",4.9,109,"Horror","Science Fiction","United Artists","Switzerland",2000,"01"
"475",6e+07,137321,"en",22.736038,30800231,118,"Released","Winter's Tale",6,487,"Drama","Fantasy","Village Roadshow Pictures","United States of America",2014,"02"
"476",6e+07,123553,"en",45.514031,90565421,130,"Released","The Mortal Instruments: City of Bones",6.2,1602,"Action","Adventure","Constantin Film Produktion","United States of America",2013,"08"
"477",6e+07,11260,"en",18.676291,50650079,90,"Released","Meet Dave",5,371,"Comedy","Science Fiction","Twentieth Century Fox Film Corporation","United States of America",2008,"07"
"478",3e+07,9009,"en",14.376463,25473093,105,"Released","Dark Water",5.3,274,"Drama","Horror","Vertigo Entertainment","United States of America",2005,"06"
"479",8e+07,11374,"en",14.298297,NA,122,"Released","Edtv",5.7,166,"Comedy",NA,"Imagine Entertainment","United States of America",1999,"03"
"480",6e+07,2309,"en",27.018886,57490374,106,"Released","Inkheart",6,592,"Adventure","Family","New Line Cinema","Germany",2008,"12"
"481",6e+07,8285,"en",14.84856,39031337,103,"Released","The Spirit",4.7,320,"Action","Comedy","DC Comics","United States of America",2008,"12"
"482",6e+07,210860,"en",52.417529,30418560,106,"Released","Mortdecai",5.4,1055,"Comedy","Adventure","Lionsgate","United States of America",2015,"01"
"483",6e+07,2312,"en",15.406173,NA,127,"Released","In the Name of the King: A Dungeon Siege Tale",4.1,224,"Adventure","Fantasy","Boll Kino Beteiligungs GmbH & Co. KG","Canada",2007,"11"
"484",3.5e+07,9839,"en",6.523472,NA,127,"Released","Beyond Borders",6.7,110,"Drama","Romance","Mandalay Pictures","Germany",2003,"10"
"485",68490000,381902,"zh",4.72629,193677158,120,"Released","The Monkey King 2",6,24,"Action","Adventure","Filmko Pictures","Hong Kong",2016,"01"
"486",8e+07,13922,"en",8.923215,10166502,132,"Released","The Great Raid",6.8,91,"Action","History","Lawrence Bender Productions","United States of America",2005,"08"
"487",6e+07,9713,"en",9.265672,NA,114,"Released","Holy Man",4.9,111,"Drama","Comedy","Caravan Pictures","United States of America",1998,"10"
"488",5.8e+07,257445,"en",45.351617,158162788,103,"Released","Goosebumps",6.2,995,"Adventure","Horror","Columbia Pictures","Australia",2015,"08"
"489",5.8e+07,9007,"en",13.43573,102854431,95,"Released","Just Like Heaven",6.5,579,"Comedy","Fantasy","DreamWorks SKG","United States of America",2005,"09"
"490",8.3e+07,889,"en",6.248309,59468275,90,"Released","The Flintstones in Viva Rock Vegas",4.4,134,"Science Fiction","Comedy","Universal Pictures","United States of America",2000,"04"
"491",6.3e+07,1370,"en",31.294717,189015611,102,"Released","Rambo III",5.7,690,"Action","Adventure","TriStar Pictures","United States of America",1988,"05"
"492",5.8e+07,4942,"en",7.739276,41299492,114,"Released","Leatherheads",5.7,130,"Comedy","Romance","Universal Pictures","Germany",2008,"03"
"493",6e+07,347969,"en",19.694695,NA,119,"Released","The Ridiculous 6",4.9,388,"Comedy","Western","Happy Madison Productions","United States of America",2015,"12"
"494",5.8e+07,24438,"en",14.403696,85280250,103,"Released","Did You Hear About the Morgans?",5.1,276,"Comedy",NA,"Columbia Pictures","United States of America",2009,"12"
"495",5.8e+07,116741,"en",1.551497,4.4e+07,119,"Released","The Internship",6.1,1658,"Comedy",NA,"Twentieth Century Fox Film Corporation","United States of America",2013,"06"
"496",6e+07,35791,"en",2.143764,300228084,97,"Released","Resident Evil: Afterlife",5.8,1363,"Action","Adventure","Impact Pictures","Germany",2010,"09"
"497",5.8e+07,72431,"en",12.29603,50365377,125,"Released","Red Tails",5.9,178,"Drama","Action","Lucasfilm","United States of America",2012,"01"
"498",5.7e+07,1813,"en",33.8473,152944660,144,"Released","The Devil's Advocate",7.2,1374,"Drama","Horror","Regency Enterprises","Germany",1997,"10"
"499",7e+07,87428,"en",21.723897,58058367,116,"Released","That's My Boy",5.5,453,"Comedy",NA,"Columbia Pictures","United States of America",2012,"06"
"500",5.7e+07,8840,"en",31.791979,115267375,103,"Released","DragonHeart",6.4,535,"Fantasy",NA,"Universal Pictures","United States of America",1996,"05"
"501",6e+07,10589,"en",14.113066,61347797,97,"Released","After the Sunset",6,226,"Action","Comedy","New Line Cinema","United States of America",2004,"11"
"502",5.7e+07,71676,"en",48.622278,149217355,95,"Released","Ghost Rider: Spirit of Vengeance",4.7,1135,"Action","Fantasy","Columbia Pictures","United Arab Emirates",2011,"12"
"503",5.7e+07,1722,"en",9.061866,62112895,131,"Released","Captain Corelli's Mandolin",5.5,145,"Drama","History","Miramax Films","United Kingdom",2001,"08"
"504",5.6e+07,10022,"en",35.4763,113006880,95,"Released","The Pacifier",5.8,842,"Action","Comedy","Walt Disney Pictures","Canada",2005,"03"
"505",5.6e+07,11358,"en",23.438398,57223890,86,"Released","Walking Tall",6,381,"Adventure","Drama","Metro-Goldwyn-Mayer (MGM)","United States of America",2004,"04"
"506",6e+07,6477,"en",47.336034,361366633,92,"Released","Alvin and the Chipmunks",5.5,1177,"Comedy","Music","Dune Entertainment","United States of America",2007,"12"
"507",5.5e+07,1597,"en",29.97224,330444045,108,"Released","Meet the Parents",6.6,1698,"Comedy","Romance","DreamWorks SKG","United States of America",2000,"10"
"508",5.5e+07,10530,"en",47.845589,346079773,81,"Released","Pocahontas",6.7,1457,"Adventure","Animation","Walt Disney Pictures","United States of America",1995,"06"
"509",5.5e+07,1924,"en",48.507081,300218018,143,"Released","Superman",6.9,1022,"Action","Adventure","Warner Bros.","United Kingdom",1978,"12"
"510",5.4e+07,9327,"en",20.28119,128769345,95,"Released","The Nutty Professor",5.4,702,"Fantasy","Comedy","Imagine Entertainment","United States of America",1996,"06"
"511",7e+07,8488,"en",34.576913,368100420,118,"Released","Hitch",6.4,1665,"Comedy","Drama","Columbia Pictures Corporation","United States of America",2005,"02"
"512",5.5e+07,10603,"en",22.573237,NA,92,"Released","George of the Jungle",5.4,496,"Adventure","Comedy","Walt Disney Pictures","United States of America",1997,"07"
"513",5.5e+07,8273,"en",36.194802,231449203,103,"Released","American Wedding",6,1129,"Comedy","Romance","Universal Pictures","United States of America",2003,"08"
"514",5.5e+07,35056,"en",38.06168,152263880,97,"Released","Date Night",5.9,1122,"Comedy",NA,"Twentieth Century Fox Film Corporation","United States of America",2010,"04"
"515",5e+07,8839,"en",19.830132,287928194,100,"Released","Casper",6,1019,"Fantasy","Comedy","Universal Pictures","United States of America",1995,"05"
"516",5.5e+07,7303,"en",19.738215,154906693,105,"Released","Maid in Manhattan",5.6,485,"Comedy","Drama","Red Om Films","United States of America",2002,"12"
"517",5.3e+07,8963,"en",20.334629,157387195,116,"Released","Crimson Tide",7,498,"Action","Thriller","Hollywood Pictures","United States of America",1995,"05"
"518",5.5e+07,9315,"en",32.05145,223387299,98,"Released","Flightplan",6.1,772,"Thriller","Drama","Imagine Entertainment","United States of America",2005,"09"
"519",5.5e+07,8984,"en",15.064058,214015089,123,"Released","Disclosure",5.9,210,"Drama","Thriller","Warner Bros.","United States of America",1994,"12"
"520",5.5e+07,795,"en",21.272734,198685114,114,"Released","City of Angels",6.4,529,"Drama","Fantasy","Atlas Entertainment","United States of America",1998,"04"
"521",5.5e+07,11353,"en",13.191829,NA,97,"Released","Bowfinger",6,254,"Comedy",NA,"Universal Pictures","United States of America",1999,"08"
"522",5.5e+07,9618,"en",22.787667,63408614,104,"Released","Tango & Cash",6.1,458,"Action","Adventure","Warner Bros.","United States of America",1989,"12"
"523",5.5e+07,9374,"en",29.498304,149022650,104,"Released","Death Becomes Her",6.3,636,"Fantasy","Comedy","Universal Pictures","United States of America",1992,"07"
"524",5.5e+07,8584,"en",25.400935,56932305,110,"Released","Shanghai Noon",6.2,735,"Adventure","Action","Spyglass Entertainment","Hong Kong",2000,"05"
"525",5.5e+07,2320,"en",17.231675,121969216,133,"Released","Executive Decision",5.8,256,"Action","Adventure","Silver Pictures","United States of America",1996,"03"
"526",5.5e+07,58224,"en",32.835777,187361754,94,"Released","Mr. Popper's Penguins",5.7,751,"Comedy","Family","Twentieth Century Fox Film Corporation","United States of America",2011,"06"
"527",5.5e+07,1729,"en",17.097041,127906624,104,"Released","The Forbidden Kingdom",6.3,461,"Action","Adventure","Casey Silver Productions","China",2008,"04"
"528",5.5e+07,175574,"en",14.414937,1.1e+08,91,"Released","Free Birds",5.7,254,"Animation","Comedy","Reel FX Creative Studios","United States of America",2013,"10"
"529",5e+07,8077,"en",45.856409,159773545,114,"Released","AlienÂ³",6.2,1633,"Science Fiction","Action","Twentieth Century Fox Film Corporation","United Kingdom",1992,"05"
"530",5.5e+07,8818,"en",7.027139,141047179,134,"Released","Evita",5.9,120,"History","Drama","Hollywood Pictures","United States of America",1996,"12"
"531",5.5e+07,8195,"en",32.657488,41610884,122,"Released","Ronin",6.7,658,"Action","Thriller","United Artists","France",1998,"09"
"532",5e+07,10586,"en",12.46525,7.5e+07,109,"Released","The Ghost and the Darkness",6.4,236,"Adventure",NA,"Constellation Films","Germany",1996,"10"
"533",5.5e+07,116149,"en",39.882276,259207227,95,"Released","Paddington",7,883,"Family","Comedy","The Weinstein Company","United Kingdom",2014,"11"
"534",6.8e+07,80035,"en",39.395881,68267862,98,"Released","The Watch",5.3,881,"Comedy",NA,"Ingenious Film Partners","United States of America",2012,"07"
"535",5.5e+07,10632,"en",8.634954,34234008,94,"Released","The Hunted",6,189,"Drama","Action","Lakeshore Entertainment","United States of America",2003,"03"
"536",8e+07,12117,"en",7.386394,NA,126,"Released","Instinct",6.2,146,"Drama","Mystery","Spyglass Entertainment","United States of America",1999,"06"
"537",5.5e+07,1792,"en",8.802525,33828318,118,"Released","Stuck on You",5.1,188,"Comedy",NA,"Twentieth Century Fox Film Corporation","United States of America",2003,"12"
"538",146817159.084967,13260,"en",10.449975,33472850,91,"Released","Semi-Pro",5.4,251,"Comedy",NA,"New Line Cinema","United States of America",2008,"02"
"539",6e+07,72197,"en",23.700759,118338361,88,"Released","The Pirates! In an Adventure with Scientists!",6.4,374,"Animation","Adventure","Columbia Pictures","United Kingdom",2012,"03"
"540",5.5e+07,3580,"en",27.50916,113020255,141,"Released","Changeling",7.3,1131,"Crime","Drama","Imagine Entertainment","United States of America",2008,"01"
"541",5e+07,12123,"en",20.58862,60209334,107,"Released","Chain Reaction",5.3,284,"Action","Drama","Twentieth Century Fox Film Corporation","United States of America",1996,"08"
"542",5.5e+07,9566,"en",4.366488,18626419,116,"Released","The Fan",5.7,194,"Drama","Mystery","TriStar Pictures","United States of America",1996,"08"
"543",7e+07,9833,"en",18.927463,154648887,143,"Released","The Phantom of the Opera",7,438,"Thriller","Drama","Odyssey Entertainment","United Kingdom",2004,"12"
"544",5.5e+07,4517,"en",15.274137,74237563,114,"Released","Elizabeth: The Golden Age",6.6,303,"Drama","History","Universal Pictures","United Kingdom",2007,"09"
"545",6.2e+07,8202,"en",29.954302,52304001,93,"Released","Ã†on Flux",5.4,703,"Action","Science Fiction","Paramount Pictures","United States of America",2005,"11"
"546",5.6e+07,16072,"en",4.362535,12923936,214,"Released","Gods and Generals",6.1,48,"Drama","History","Warner Bros. Pictures","United States of America",2003,"02"
"547",5.5e+07,34314,"en",4.700024,11466088,100,"Released","Turbulence",5.2,62,"Action","Thriller","Metro-Goldwyn-Mayer (MGM)","United States of America",1997,"01"
"548",5.5e+07,19724,"en",12.340384,NA,107,"Released","Imagine That",5.7,134,"Comedy",NA,"Paramount Pictures","United States of America",2009,"06"
"549",5e+07,145220,"en",14.808304,80383290,112,"Released","Muppets Most Wanted",6.2,316,"Comedy","Adventure","Buena Vista","United States of America",2014,"03"
"550",5.7e+07,14623,"en",9.27875,28283637,95,"Released","Thunderbirds",4.2,91,"Action","Adventure","Studio Canal","United Kingdom",2004,"07"
"551",5.5e+07,42297,"en",22.863516,89519773,119,"Released","Burlesque",6.9,573,"Drama","Romance","Bedford Falls Productions","United States of America",2010,"11"
"552",4.7e+07,2841,"fr",23.05451,NA,133,"Released","A Very Long Engagement",7.1,346,"Drama",NA,"Gerber Pictures","France",2004,"10"
"553",2e+06,802,"en",23.962109,9250000,153,"Released","Lolita",7.3,395,"Drama","Romance","Seven Arts Productions","United Kingdom",1962,"06"
"554",5.5e+07,10375,"en",12.669778,6416302,96,"Released","D-Tox",5.3,123,"Action","Thriller","Universal Pictures","United States of America",2002,"01"
"555",5.5e+07,70074,"en",22.503935,9489829,92,"Released","Bullet to the Head",5.2,481,"Action","Crime","Dark Castle Entertainment","Switzerland",2013,"01"
"556",5.4e+07,242,"en",59.194915,136766062,162,"Released","The Godfather: Part III",7.1,1546,"Crime","Drama","Paramount Pictures","Italy",1990,"12"
"557",5.7e+07,9621,"en",22.894898,52034889,123,"Released","Elizabethtown",6.1,327,"Comedy","Drama","Paramount Pictures","United States of America",2005,"10"
"558",5.4e+07,1819,"en",18.600367,130431368,108,"Released","You, Me and Dupree",5.4,407,"Comedy","Romance","Universal Pictures","United States of America",2006,"07"
"559",5.4e+07,8536,"en",30.515175,190458706,127,"Released","Superman II",6.5,629,"Action","Adventure","Warner Bros.","United Kingdom",1980,"12"
"560",5.4e+07,8046,"en",9.053456,7266209,121,"Released","Gigli",3.5,104,"Drama",NA,"City Light Films","United States of America",2003,"08"
"561",5.5e+07,1717,"en",7.768223,9450897,125,"Released","All the King's Men",5.7,95,"Drama","Thriller","Columbia Pictures Corporation","United States of America",2006,"09"
"562",4.6e+07,479,"en",19.643365,107196498,99,"Released","Shaft",5.5,308,"Action","Adventure","Paramount Pictures","Germany",2000,"06"
"563",5.3e+07,9444,"en",45.565918,139804348,94,"Released","Anastasia",7.4,1432,"Animation","Family","Twentieth Century Fox Film Corporation","United States of America",1997,"11"
"564",52500000,824,"en",57.374341,179213434,127,"Released","Moulin Rouge!",7.4,1300,"Drama","Music","Bazmark Films","Australia",2001,"03"
"565",7.5e+07,11456,"en",8.41856,54249294,89,"Released","Domestic Disturbance",5.4,113,"Mystery","Thriller","Paramount Pictures","United States of America",2001,"10"
"566",5.3e+07,261023,"en",46.049902,98837872,122,"Released","Black Mass",6.3,1242,"Crime","Drama","Infinitum Nihil","United Kingdom",2015,"09"
"567",9e+07,3683,"en",23.9366,65900249,132,"Released","Flags of Our Fathers",6.7,526,"War","Drama","DreamWorks SKG","United States of America",2006,"10"
"568",5.3e+07,22803,"en",49.593978,126690726,109,"Released","Law Abiding Citizen",7.2,1486,"Drama","Crime","Film Department, The","United States of America",2009,"10"
"569",6.7e+07,285923,"en",16.637642,25037897,191,"Released","Grindhouse",6.8,459,"Thriller","Action","Big Talk Productions","United States of America",2007,"04"
"570",111552392.816396,39437,"en",1.453765,NA,172,"Released","Beloved",5.9,26,"Drama","Thriller","Harpo Films","United States of America",1998,"10"
"571",109300292.490021,1950,"en",6.162872,5761917,124,"Released","Lucky You",5.4,81,"Drama","Romance","Village Roadshow Pictures","United States of America",2007,"05"
"572",4e+07,97630,"en",38.306954,132820716,157,"Released","Zero Dark Thirty",6.7,1702,"Thriller","Drama","Columbia Pictures","United States of America",2012,"12"
"573",5.2e+07,9767,"en",26.251217,204999686,106,"Released","The Break-Up",5.6,832,"Romance","Comedy","Universal Pictures","United States of America",2006,"06"
"574",5.2e+07,11631,"en",30.780599,609841637,108,"Released","Mamma Mia!",6.4,1386,"Comedy","Romance","Universal Pictures","Germany",2008,"07"
"575",5.2e+07,32856,"en",25.41929,216485654,125,"Released","Valentine's Day",5.7,1013,"Comedy","Romance","New Line Cinema","United States of America",2010,"02"
"576",5e+07,6519,"en",15.98212,110803676,104,"Released","The Dukes of Hazzard",5.1,316,"Action","Adventure","Village Roadshow Pictures","United States of America",2005,"08"
"577",5.2e+07,8741,"en",40.072583,98126565,170,"Released","The Thin Red Line",7.2,771,"Drama","History","Fox 2000 Pictures","Canada",1998,"12"
"578",5.2e+07,49520,"en",32.015477,75450437,112,"Released","The Change-Up",5.9,736,"Comedy",NA,"Universal Pictures","United States of America",2011,"08"
"579",8.2e+07,1850,"en",24.444186,47434430,118,"Released","Man on the Moon",6.9,435,"Comedy","Drama","Mutual Film Company","United States of America",1999,"12"
"580",5.2e+07,524,"en",40.06688,116112375,178,"Released","Casino",7.8,1307,"Drama","Crime","Universal Pictures","France",1995,"11"
"581",5.2e+07,26389,"en",27.916284,52826594,92,"Released","From Paris with Love",6.1,675,"Action","Crime","Apipoulaï","United Kingdom",2010,"02"
"582",5.2e+07,11817,"en",15.20707,NA,104,"Released","Bulletproof Monk",5.1,278,"Action","Comedy","Metro-Goldwyn-Mayer (MGM)","United States of America",2003,"03"
"583",5.1e+07,2123,"en",39.001682,149270999,116,"Released","Me, Myself & Irene",6.1,927,"Comedy",NA,"Twentieth Century Fox Film Corporation","United States of America",2000,"06"
"584",5.1e+07,9907,"en",10.430832,72779000,90,"Released","Barnyard",5.3,225,"Animation","Comedy","Paramount Pictures","Germany",2006,"08"
"585",156101359.841919,9969,"en",5.952527,47231070,93,"Released","Deck the Halls",5.1,109,"Comedy","Family","Regency Enterprises","United States of America",2006,"11"
"586",50200000,38050,"en",26.60772,127869379,106,"Released","The Adjustment Bureau",6.5,1652,"Science Fiction","Thriller","Universal Pictures","United States of America",2011,"03"
"587",4.8e+07,8367,"en",28.803729,390493908,143,"Released","Robin Hood: Prince of Thieves",6.6,909,"Adventure",NA,"Warner Bros.","United States of America",1991,"06"
"588",5e+07,9390,"en",27.039636,273552592,139,"Released","Jerry Maguire",6.7,913,"Comedy","Drama","Gracie Films","United States of America",1996,"12"
"589",5e+07,2898,"en",37.885022,314178011,139,"Released","As Good as It Gets",7.2,915,"Comedy","Romance","Gracie Films","United States of America",1997,"12"
"590",5e+07,10312,"en",35.537397,202292902,115,"Released","Patch Adams",7,832,"Comedy","Drama","Universal Pictures","United States of America",1998,"12"
"591",5e+07,109443,"en",38.125008,173649015,119,"Released","Anchorman 2: The Legend Continues",6,923,"Comedy",NA,"Paramount Pictures","United States of America",2013,"12"
"592",5e+07,2022,"en",18.121404,171269535,96,"Released","Mr. Deeds",5.6,644,"Comedy","Romance","New Line Cinema","United States of America",2002,"06"
"593",5.2e+07,462,"en",30.347332,256271286,131,"Released","Erin Brockovich",7.1,716,"Drama",NA,"Jersey Films","United States of America",2000,"03"
"594",5e+07,9919,"en",23.854701,177371441,116,"Released","How to Lose a Guy in 10 Days",6.3,850,"Comedy","Romance","Paramount Pictures","Germany",2003,"02"
"595",6e+07,628,"en",50.163785,223664608,123,"Released","Interview with the Vampire",7.2,1516,"Horror","Romance","Geffen Pictures","United States of America",1994,"11"
